type,size,ocall,noenc,fullenc,baseline,
read,4,21755.000000,12262.000000,22670.000000,657.000000,
read,4,22197.000000,12316.000000,22246.000000,698.000000,
read,4,22491.000000,12334.000000,22945.000000,614.000000,
read,4,22323.000000,12312.000000,22108.000000,635.000000,
read,4,21779.000000,12426.000000,23082.000000,628.000000,
read,4,21568.000000,12104.000000,22438.000000,625.000000,
read,4,22080.000000,12303.000000,22438.000000,659.000000,
read,4,21978.000000,12013.000000,22602.000000,640.000000,
read,4,22050.000000,12293.000000,22506.000000,589.000000,
read,4,22279.000000,12045.000000,22588.000000,701.000000,
read,4,22400.000000,12302.000000,22594.000000,618.000000,
read,4,21983.000000,12330.000000,22166.000000,577.000000,
read,4,22705.000000,12115.000000,23289.000000,630.000000,
read,4,22381.000000,12389.000000,22616.000000,628.000000,
read,4,22438.000000,12116.000000,23180.000000,637.000000,
read,4,22385.000000,12404.000000,22436.000000,610.000000,
read,4,22812.000000,12055.000000,22823.000000,589.000000,
read,4,22451.000000,12626.000000,22651.000000,628.000000,
read,4,22239.000000,12311.000000,22423.000000,616.000000,
read,4,22407.000000,12040.000000,22062.000000,625.000000,
read,4,22213.000000,12644.000000,22275.000000,598.000000,
read,4,22247.000000,12163.000000,22759.000000,633.000000,
read,4,22386.000000,12820.000000,22425.000000,615.000000,
read,4,22285.000000,12010.000000,22394.000000,628.000000,
read,4,22311.000000,12388.000000,22843.000000,647.000000,
read,4,22302.000000,12351.000000,22232.000000,935.000000,
read,4,22565.000000,12013.000000,22519.000000,625.000000,
read,4,22124.000000,12374.000000,22264.000000,642.000000,
read,4,23218.000000,12366.000000,23675.000000,679.000000,
read,4,21938.000000,12318.000000,22197.000000,673.000000,
read,4,21815.000000,12096.000000,22604.000000,614.000000,
read,4,22531.000000,12321.000000,22589.000000,612.000000,
read,4,22101.000000,12309.000000,22731.000000,638.000000,
read,4,22728.000000,12103.000000,22348.000000,693.000000,
read,4,22718.000000,12644.000000,22716.000000,607.000000,
read,4,21983.000000,12696.000000,22753.000000,594.000000,
read,4,22548.000000,12239.000000,22692.000000,635.000000,
read,4,22400.000000,12714.000000,22607.000000,684.000000,
read,4,22162.000000,11964.000000,22582.000000,640.000000,
read,4,22125.000000,12034.000000,22483.000000,813.000000,
read,4,22510.000000,12343.000000,22484.000000,648.000000,
read,4,22362.000000,11981.000000,22328.000000,673.000000,
read,4,22439.000000,12115.000000,22727.000000,608.000000,
read,4,21721.000000,12289.000000,22470.000000,635.000000,
read,4,22828.000000,12271.000000,22657.000000,619.000000,
read,4,22409.000000,12045.000000,22646.000000,681.000000,
read,4,22423.000000,24914.000000,22739.000000,611.000000,
read,4,22462.000000,27877.000000,22546.000000,610.000000,
read,4,22165.000000,18216.000000,22595.000000,628.000000,
read,4,22507.000000,11953.000000,22959.000000,626.000000,
read,4,22653.000000,12311.000000,22773.000000,931.000000,
read,4,21746.000000,12108.000000,22774.000000,646.000000,
read,4,22200.000000,12640.000000,22775.000000,573.000000,
read,4,22224.000000,12134.000000,22617.000000,630.000000,
read,4,22174.000000,12288.000000,22431.000000,624.000000,
read,4,22282.000000,12074.000000,22410.000000,634.000000,
read,4,22357.000000,12241.000000,23051.000000,571.000000,
read,4,22072.000000,12226.000000,22537.000000,684.000000,
read,4,22139.000000,12064.000000,22574.000000,625.000000,
read,4,22789.000000,12076.000000,22767.000000,600.000000,
read,4,23035.000000,12278.000000,23502.000000,567.000000,
read,4,22432.000000,12310.000000,22700.000000,615.000000,
read,4,22428.000000,12051.000000,22393.000000,616.000000,
read,4,22437.000000,12966.000000,22411.000000,594.000000,
read,4,22503.000000,12055.000000,22533.000000,651.000000,
read,4,22042.000000,12357.000000,22593.000000,709.000000,
read,4,22332.000000,12274.000000,22725.000000,655.000000,
read,4,22628.000000,12019.000000,22092.000000,596.000000,
read,4,22469.000000,12319.000000,22490.000000,618.000000,
read,4,22337.000000,12248.000000,22607.000000,668.000000,
read,4,21757.000000,12290.000000,22592.000000,628.000000,
read,4,22400.000000,12279.000000,22464.000000,576.000000,
read,4,22457.000000,12268.000000,23000.000000,607.000000,
read,4,21972.000000,12377.000000,22264.000000,684.000000,
read,4,22410.000000,12386.000000,22459.000000,616.000000,
read,4,22300.000000,12031.000000,22691.000000,645.000000,
read,4,22173.000000,12351.000000,23255.000000,624.000000,
read,4,22047.000000,12292.000000,22684.000000,649.000000,
read,4,22562.000000,12073.000000,22486.000000,614.000000,
read,4,22383.000000,12600.000000,22417.000000,590.000000,
read,4,22500.000000,12278.000000,22864.000000,638.000000,
read,4,22380.000000,12040.000000,22745.000000,624.000000,
read,4,22603.000000,13188.000000,23039.000000,572.000000,
read,4,22342.000000,12052.000000,22787.000000,618.000000,
read,4,22127.000000,12191.000000,22981.000000,623.000000,
read,4,22081.000000,12521.000000,22658.000000,707.000000,
read,4,22046.000000,12573.000000,22597.000000,610.000000,
read,4,22360.000000,11802.000000,23303.000000,639.000000,
read,4,22519.000000,12029.000000,22717.000000,652.000000,
read,4,22346.000000,12262.000000,23293.000000,699.000000,
read,4,22082.000000,12252.000000,37517.000000,920.000000,
read,4,22167.000000,12692.000000,44255.000000,635.000000,
read,4,22735.000000,12276.000000,23773.000000,671.000000,
read,4,22245.000000,12315.000000,22543.000000,658.000000,
read,4,22304.000000,12201.000000,22594.000000,625.000000,
read,4,21928.000000,12359.000000,22783.000000,620.000000,
read,4,21966.000000,12293.000000,23082.000000,638.000000,
read,4,21982.000000,12313.000000,22527.000000,685.000000,
read,4,22424.000000,12074.000000,22472.000000,611.000000,
read,4,22177.000000,12443.000000,22365.000000,637.000000,
read,4,22122.000000,12207.000000,22476.000000,636.000000,
read,4,22363.000000,12099.000000,22352.000000,902.000000,
read,4,22648.000000,12361.000000,22312.000000,618.000000,
read,4,22708.000000,12342.000000,22356.000000,634.000000,
read,4,22063.000000,12712.000000,23013.000000,647.000000,
read,4,22261.000000,12291.000000,22707.000000,630.000000,
read,4,23817.000000,12182.000000,21947.000000,627.000000,
read,4,22417.000000,12357.000000,22307.000000,646.000000,
read,4,22527.000000,12038.000000,22753.000000,749.000000,
read,4,22387.000000,12406.000000,22253.000000,682.000000,
read,4,22057.000000,11997.000000,22528.000000,589.000000,
read,4,22355.000000,12404.000000,22316.000000,643.000000,
read,4,21999.000000,12308.000000,22504.000000,616.000000,
read,4,21912.000000,11946.000000,22727.000000,676.000000,
read,4,22108.000000,12481.000000,22414.000000,623.000000,
read,4,22401.000000,12320.000000,22791.000000,629.000000,
read,4,22234.000000,12161.000000,23092.000000,645.000000,
read,4,22261.000000,12469.000000,22289.000000,630.000000,
read,4,22373.000000,12329.000000,22652.000000,648.000000,
read,4,22360.000000,12327.000000,22332.000000,633.000000,
read,4,22686.000000,12211.000000,22742.000000,615.000000,
read,4,22329.000000,12267.000000,22436.000000,683.000000,
read,4,22439.000000,12081.000000,22807.000000,626.000000,
read,4,22323.000000,12240.000000,22766.000000,659.000000,
read,4,22521.000000,12634.000000,22797.000000,633.000000,
read,4,22315.000000,12073.000000,22616.000000,687.000000,
read,4,22447.000000,12314.000000,22414.000000,589.000000,
read,4,22399.000000,12291.000000,22617.000000,645.000000,
read,4,22247.000000,12185.000000,22340.000000,568.000000,
read,4,22547.000000,12646.000000,22388.000000,628.000000,
read,4,22148.000000,11985.000000,22489.000000,595.000000,
read,4,22584.000000,11906.000000,22163.000000,630.000000,
read,4,22082.000000,12420.000000,22685.000000,618.000000,
read,4,22428.000000,11988.000000,22581.000000,626.000000,
read,4,22055.000000,12269.000000,22308.000000,621.000000,
read,4,22743.000000,11999.000000,22804.000000,722.000000,
read,4,22097.000000,12275.000000,22417.000000,620.000000,
read,4,22538.000000,12050.000000,22248.000000,647.000000,
read,4,22076.000000,12005.000000,22667.000000,639.000000,
read,4,22140.000000,12603.000000,22314.000000,670.000000,
read,4,22254.000000,12347.000000,22853.000000,620.000000,
read,4,22175.000000,12307.000000,22929.000000,568.000000,
read,4,21975.000000,12092.000000,22440.000000,630.000000,
read,4,21947.000000,12296.000000,22289.000000,703.000000,
read,4,22342.000000,12580.000000,22689.000000,632.000000,
read,4,22029.000000,12049.000000,22643.000000,578.000000,
read,4,22165.000000,12312.000000,22723.000000,623.000000,
read,4,21924.000000,12044.000000,23031.000000,702.000000,
read,4,22394.000000,12337.000000,22625.000000,601.000000,
read,4,22960.000000,12204.000000,22534.000000,623.000000,
read,4,21917.000000,12326.000000,22584.000000,641.000000,
read,4,22369.000000,12313.000000,22400.000000,693.000000,
read,4,22169.000000,12092.000000,22899.000000,614.000000,
read,4,22283.000000,12327.000000,22038.000000,624.000000,
read,4,21992.000000,12296.000000,22833.000000,574.000000,
read,4,22427.000000,12014.000000,22556.000000,644.000000,
read,4,22848.000000,12389.000000,23424.000000,590.000000,
read,4,21797.000000,12361.000000,22305.000000,616.000000,
read,4,22433.000000,12268.000000,22324.000000,586.000000,
read,4,22093.000000,12548.000000,22672.000000,803.000000,
read,4,21915.000000,12001.000000,22648.000000,601.000000,
read,4,22000.000000,12007.000000,23007.000000,596.000000,
read,4,22128.000000,12392.000000,22478.000000,612.000000,
read,4,22365.000000,12416.000000,22437.000000,645.000000,
read,4,22607.000000,12303.000000,22678.000000,656.000000,
read,4,22555.000000,12012.000000,22611.000000,655.000000,
read,4,35177.000000,12375.000000,22803.000000,621.000000,
read,4,43614.000000,12047.000000,22477.000000,644.000000,
read,4,22498.000000,12231.000000,22802.000000,645.000000,
read,4,22118.000000,12034.000000,22239.000000,617.000000,
read,4,22363.000000,12355.000000,22684.000000,612.000000,
read,4,22624.000000,12066.000000,22699.000000,645.000000,
read,4,22034.000000,12259.000000,22511.000000,583.000000,
read,4,22301.000000,12107.000000,22867.000000,616.000000,
read,4,22229.000000,12443.000000,22516.000000,635.000000,
read,4,22408.000000,12167.000000,23010.000000,671.000000,
read,4,22251.000000,12053.000000,22798.000000,624.000000,
read,4,21985.000000,12317.000000,22723.000000,622.000000,
read,4,22377.000000,12186.000000,22971.000000,561.000000,
read,4,22035.000000,12348.000000,22925.000000,652.000000,
read,4,22689.000000,12347.000000,22693.000000,621.000000,
read,4,22683.000000,12084.000000,22322.000000,593.000000,
read,4,22371.000000,12230.000000,22711.000000,612.000000,
read,4,22786.000000,12289.000000,22303.000000,695.000000,
read,4,22452.000000,12266.000000,23159.000000,626.000000,
read,4,22236.000000,12116.000000,22459.000000,943.000000,
read,4,22752.000000,12298.000000,22818.000000,568.000000,
read,4,22750.000000,12340.000000,22825.000000,657.000000,
read,4,23070.000000,12222.000000,23398.000000,613.000000,
read,4,22588.000000,12317.000000,22672.000000,624.000000,
read,4,22342.000000,12367.000000,22407.000000,637.000000,
read,4,22353.000000,12253.000000,22244.000000,710.000000,
read,4,21932.000000,12295.000000,22690.000000,628.000000,
read,4,22389.000000,12011.000000,22914.000000,617.000000,
read,4,22025.000000,12516.000000,22870.000000,625.000000,
read,4,22306.000000,12435.000000,22382.000000,711.000000,
read,4,22404.000000,12319.000000,22832.000000,620.000000,
read,4,22086.000000,12070.000000,22505.000000,620.000000,
read,4,22389.000000,12184.000000,22798.000000,590.000000,
read,4,22602.000000,12302.000000,22483.000000,956.000000,
read,4,22494.000000,12088.000000,22681.000000,591.000000,
read,4,22027.000000,12334.000000,22179.000000,599.000000,
read,4,22681.000000,13022.000000,22701.000000,615.000000,
read,4,22156.000000,12102.000000,22503.000000,637.000000,
read,4,22400.000000,12039.000000,23337.000000,620.000000,
read,4,22207.000000,12333.000000,22575.000000,618.000000,
read,4,22190.000000,12064.000000,22489.000000,586.000000,
read,4,22744.000000,12412.000000,22958.000000,648.000000,
read,4,22685.000000,12489.000000,22708.000000,568.000000,
read,4,22297.000000,12284.000000,22204.000000,623.000000,
read,4,23008.000000,11993.000000,22568.000000,621.000000,
read,4,22652.000000,12348.000000,22651.000000,641.000000,
read,4,22562.000000,12337.000000,22279.000000,615.000000,
read,4,22148.000000,12306.000000,22557.000000,619.000000,
read,4,22497.000000,12352.000000,22669.000000,625.000000,
read,4,22402.000000,12100.000000,22750.000000,707.000000,
read,4,22982.000000,12456.000000,22614.000000,630.000000,
read,4,21846.000000,12042.000000,22933.000000,620.000000,
read,4,22004.000000,12305.000000,22482.000000,579.000000,
read,4,22402.000000,12278.000000,22378.000000,970.000000,
read,4,22571.000000,12307.000000,23937.000000,660.000000,
read,4,22310.000000,12105.000000,22291.000000,618.000000,
read,4,22213.000000,12391.000000,22785.000000,579.000000,
read,4,22016.000000,12398.000000,22792.000000,654.000000,
read,4,22375.000000,12257.000000,23206.000000,628.000000,
read,4,22327.000000,12329.000000,22509.000000,611.000000,
read,4,22401.000000,12315.000000,22711.000000,566.000000,
read,4,22313.000000,12245.000000,22999.000000,712.000000,
read,4,22428.000000,12605.000000,22853.000000,637.000000,
read,4,22679.000000,12044.000000,22515.000000,569.000000,
